diary_date,activity_text,sources_present,sources_missing,status,report_copies_for_date
2025-05-05,Commence install of site fencing,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001,,present in all 4 copies,4
2025-05-05,Enabling compound-Running water and toilet,01. May 2025/1816 - May Daily Reporting.xlsx::001; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::001; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::001,,present in all 4 copies,4
2025-05-06,Ongoing Fencing Install,01. May 2025/1816 - May Daily Reporting.xlsx::002; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::002; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::002,,present in all 4 copies,4
2025-05-07,Complete Fencing Install,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003,,present in all 4 copies,4
2025-05-07,Demo of fencing in front of sump,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003,,present in all 4 copies,4
2025-05-07,Establish Site Security Cameras,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003,,present in all 4 copies,4
2025-05-07,Inspection of carpark works,01. May 2025/1816 - May Daily Reporting.xlsx::003; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::003; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::003,,present in all 4 copies,4
2025-05-08,Application in for Sewer Plugs,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004,,present in all 4 copies,4
2025-05-08,Commence Demolition of Brick Pavers Within Site Boundary Bayly Street End,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004,,present in all 4 copies,4
2025-05-08,Delap Survey Inspected 8 Properties,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004,,present in all 4 copies,4
2025-05-08,Demolish Fence Site Side of Sump,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004,,present in all 4 copies,4
2025-05-08,Received Survey,01. May 2025/1816 - May Daily Reporting.xlsx::004; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::004; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::004,,present in all 4 copies,4
2025-05-09,Completed Demo of Brick Paving,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::005; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::005; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::005,,present in all 3 copies,3
2025-05-09,Delap Survey Inspected 9 Properties,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::005; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::005; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::005,,present in all 3 copies,3
2025-05-09,Ongoing Survice Location,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::005; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::005; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::005,,present in all 3 copies,3
2025-05-12,Commence Vegetation Strip to basin,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::006; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::006; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::006,,present in all 3 copies,3
2025-05-12,Mobilisation of Posi Track,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::006; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::006; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::006,,present in all 3 copies,3
2025-05-12,Mobilsed Watercart,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::006; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::006; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::006,,present in all 3 copies,3
2025-05-13,Commence Basin Topsoil Strip,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::007; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::007; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::007,,present in all 3 copies,3
2025-05-14,Commence General Site Vegetation Strip,01. May 2025/Daily Reports 250514.xlsx::Table 1; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::008,,present in all 4 copies,4
2025-05-14,Complete Basin Topsoil Strip,01. May 2025/Daily Reports 250514.xlsx::Table 1; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::008,,present in all 4 copies,4
2025-05-14,Drainage Order Placed,01. May 2025/Daily Reports 250514.xlsx::Table 1; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::008,,present in all 4 copies,4
2025-05-14,Fortnightly Progress Meeting,01. May 2025/Daily Reports 250514.xlsx::Table 1; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::008,,present in all 4 copies,4
2025-05-14,Meet with Maritime Museum and confirmed vibration monitor location,01. May 2025/Daily Reports 250514.xlsx::Table 1; 01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::008; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::008,,present in all 4 copies,4
2025-05-15,Gluon onsite,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::009,,present in all 3 copies,3
2025-05-15,Hard Barracading Onsite,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::009,,present in all 3 copies,3
2025-05-15,Ongoing General Site Vegetation Strip,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::009,,present in all 3 copies,3
2025-05-15,Unknown Footing/ Pole discovered in ground,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::009,,present in all 3 copies,3
2025-05-15,Vibration Monitor Onsite,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::009,,present in all 3 copies,3
2025-05-15,Yamaji Southern Corporation Onsite,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::009; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::009,,present in all 3 copies,3
2025-05-16,Additional Temp Fencing onsite,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::010; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::010; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::010,,present in all 3 copies,3
2025-05-16,Basecourse for access track onsite,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::010; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::010; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::010,,present in all 3 copies,3
2025-05-16,Ongoing Vegetation Strip,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::010; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::010; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::010,,present in all 3 copies,3
2025-05-16,Service location forrest street,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::010; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::010; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::010,,present in all 3 copies,3
2025-05-19,Commence Soul Café Crossing Works dsirupted by found asbestos,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::011; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::011; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::011,,present in all 3 copies,3
2025-05-19,Detailed topsoil strip in conjunction with Structerre Consultant,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::011; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::011; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::011,,present in all 3 copies,3
2025-05-20,Completed Soul Café Crossing Works,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::012; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::012; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::012,,present in all 3 copies,3
2025-05-20,Dug test pits in gravel area to establish gravel thicknesses,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::012; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::012; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::012,,present in all 3 copies,3
2025-05-20,First Delivery of Concrete Pipes onsite,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::012; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::012; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::012,,present in all 3 copies,3
2025-05-20,Seived Soil and Removed Asbestos from Soul Café Crossing,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::012; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::012; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::012,,present in all 3 copies,3
2025-05-21,Commenced Exposure of basecourse in northern lots,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::013; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::013; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::013,,present in all 3 copies,3
2025-05-21,"Conducted Vibration Trials-Further investigation required on low vibration rolling, High Vibration Rolling to no longer be implemented",01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::013; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::013; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::013,,present in all 3 copies,3
2025-05-21,Initial Feedback Provided on APRA,01. May 2025/archive_1816 - May-July Daily Reporting.xlsx::013; 02. June 2025/archive_1816 - May-July Daily Reporting.xlsx::013; 03. July 2025/archive_1816 - May-July Daily Reporting.xlsx::013,,present in all 3 copies,3
