diary_date,activity_text,source_file,worksheet
2025-05-05,Commence install of site fencing,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,001
2025-05-05,Commence install of site fencing,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,001
2025-05-05,Commence install of site fencing,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,001
2025-05-05,Commence install of site fencing,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,001
2025-05-05,Enabling compound-Running water and toilet,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,001
2025-05-05,Enabling compound-Running water and toilet,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,001
2025-05-05,Enabling compound-Running water and toilet,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,001
2025-05-05,Enabling compound-Running water and toilet,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,001
2025-05-06,Ongoing Fencing Install,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,002
2025-05-06,Ongoing Fencing Install,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,002
2025-05-06,Ongoing Fencing Install,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,002
2025-05-06,Ongoing Fencing Install,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,002
2025-05-07,Complete Fencing Install,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,003
2025-05-07,Complete Fencing Install,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Complete Fencing Install,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Complete Fencing Install,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Demo of fencing in front of sump,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,003
2025-05-07,Demo of fencing in front of sump,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Demo of fencing in front of sump,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Demo of fencing in front of sump,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Establish Site Security Cameras,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,003
2025-05-07,Establish Site Security Cameras,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Establish Site Security Cameras,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Establish Site Security Cameras,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Inspection of carpark works,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,003
2025-05-07,Inspection of carpark works,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Inspection of carpark works,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-07,Inspection of carpark works,001-Client reports/03. July 2025/archive_1816 - May-July Daily Reporting.xlsx,003
2025-05-08,Application in for Sewer Plugs,001-Client reports/01. May 2025/1816 - May Daily Reporting.xlsx,004
2025-05-08,Application in for Sewer Plugs,001-Client reports/01. May 2025/archive_1816 - May-July Daily Reporting.xlsx,004
2025-05-08,Application in for Sewer Plugs,001-Client reports/02. June 2025/archive_1816 - May-July Daily Reporting.xlsx,004
