diary_date,activities,personnel,delays,issues,supervisor_comments,supervisor_extension_notes,fallback_activities,has_supervisor,uses_fallback
2025-05-05,2,4,0,0,0,0,2,False,True
2025-05-06,1,4,0,0,0,0,1,False,True
2025-05-07,4,4,0,0,0,0,4,False,True
2025-05-08,5,4,0,0,0,0,5,False,True
2025-05-09,3,6,0,0,0,0,3,False,True
2025-05-12,3,4,0,0,0,0,3,False,True
2025-05-13,1,4,0,0,0,0,1,False,True
2025-05-14,5,4,0,0,0,0,5,False,True
2025-05-15,6,5,0,0,0,0,6,False,True
2025-05-16,4,6,0,0,0,0,4,False,True
2025-05-19,2,7,1,0,0,0,2,False,True
2025-05-20,4,8,1,0,0,0,4,False,True
2025-05-21,8,7,1,0,0,0,8,False,True
2025-05-22,5,7,1,0,0,0,5,False,True
2025-05-23,4,7,1,0,0,0,4,False,True
2025-05-26,3,8,1,0,0,0,3,False,True
2025-05-27,3,9,1,0,0,0,3,False,True
2025-05-28,5,9,1,0,0,0,5,False,True
2025-05-29,4,9,1,0,0,0,4,False,True
2025-05-30,2,9,1,0,0,0,2,False,True
2025-05-31,3,9,1,0,0,0,3,False,True
2025-06-03,6,9,1,0,0,0,6,False,True
2025-06-04,6,10,1,0,0,0,6,False,True
2025-06-05,3,10,1,0,0,0,3,False,True
2025-06-06,4,10,1,0,0,0,4,False,True
2025-06-09,3,10,1,0,0,0,3,False,True
2025-06-10,2,10,0,0,0,0,2,False,True
2025-06-11,2,10,0,0,0,0,2,False,True
2025-06-12,2,10,0,0,0,0,2,False,True
2025-06-14,2,10,3,0,0,0,2,False,True
2025-06-16,3,10,0,0,0,0,3,False,True
2025-06-17,2,11,0,0,0,0,2,False,True
2025-06-18,4,11,0,0,0,0,4,False,True
2025-06-19,4,11,0,0,0,0,4,False,True
2025-06-20,3,11,0,0,0,0,3,False,True
2025-06-23,2,11,0,0,0,0,2,False,True
2025-06-24,1,11,0,0,0,0,1,False,True
2025-06-25,4,11,0,0,0,0,4,False,True
2025-06-26,4,11,0,0,0,0,4,False,True
2025-06-27,8,11,0,0,0,0,8,False,True
2025-06-30,4,11,0,0,0,0,4,False,True
2025-07-01,4,11,0,0,0,0,4,False,True
2025-07-02,5,11,0,0,0,0,5,False,True
2025-07-03,4,11,1,0,0,0,4,False,True
2025-07-04,4,11,1,0,0,0,4,False,True
2025-07-07,2,12,1,0,0,0,2,False,True
2025-07-08,3,15,1,0,0,0,3,False,True
2025-07-09,2,15,1,0,0,0,2,False,True
2025-07-10,3,15,1,0,0,0,3,False,True
2025-07-11,3,15,1,0,0,0,3,False,True
2025-07-12,2,15,1,0,0,0,2,False,True
2025-07-14,2,15,1,0,0,0,2,False,True
2025-07-15,2,15,0,0,0,0,2,False,True
2025-07-16,4,15,0,0,0,0,4,False,True
2025-07-17,3,15,0,0,0,0,3,False,True
2025-07-18,3,15,0,0,0,0,3,False,True
2025-07-19,2,15,0,0,0,0,2,False,True
2025-07-21,2,16,0,0,0,0,2,False,True
2025-07-22,2,15,0,0,0,0,2,False,True
2025-07-23,3,15,0,0,0,0,3,False,True
2025-07-24,4,15,0,0,0,0,4,False,True
2025-07-25,4,15,0,0,0,0,4,False,True
2025-07-26,3,15,0,0,0,0,3,False,True
2025-07-28,3,15,0,0,0,0,3,False,True
2025-07-29,6,15,0,0,0,0,6,False,True
2025-07-30,4,16,0,0,0,0,4,False,True
2025-07-31,4,16,0,0,0,0,4,False,True
2025-08-01,4,16,0,0,0,0,4,False,True
2025-08-04,6,15,0,0,0,0,6,False,True
2025-08-05,7,15,0,0,0,0,7,False,True
2025-08-06,4,15,1,0,0,0,4,False,True
2025-08-07,6,18,1,0,0,0,6,False,True
2025-08-08,2,15,1,0,0,0,2,False,True
2025-08-09,2,15,1,0,0,0,2,False,True
2025-08-11,4,17,4,0,0,0,4,False,True
2025-08-12,4,17,3,1,0,0,4,False,True
