diary_date,note,source_file,worksheet
2025-09-22,Cement stabe completed of HV @ bayley street,002-Supervisor_Reports/Supervisor Report - September.xlsx,22
2025-09-22,Import 5x loads of top soil material for planting bedding,002-Supervisor_Reports/Supervisor Report - September.xlsx,22
2025-09-26,Import of sub base material continued until 4.55pm,002-Supervisor_Reports/Supervisor Report - September.xlsx,26
2025-09-26,Testing completed @ bayley including proof rolling,002-Supervisor_Reports/Supervisor Report - September.xlsx,26
2025-10-03,All perimeter fencing checked for clips/damage etc.,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,Back fill trench in 300mm lifts along chambers to the intersection 100% completed,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,General tidy around site for next weeks works,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,Installed gas tape along side laterals and send to Chris herring as proof,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,Removed of any material from boxing out for wombat ramps,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,Start works on re-installation of 25mm laterals along chambers 98% complete,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 24.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 25.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report 06.10.xlsx,06
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report 08.10.xlsx,08
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report 11.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 24.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 25.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report 06.10.xlsx,06
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report 08.10.xlsx,08
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report 11.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 24.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 25.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report 06.10.xlsx,06
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report 08.10.xlsx,08
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report 11.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
